GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 -----   ------   ------------    ---------------   ----------   ----------   --------------  --------------   
 0.00000    0.24297      0.36003       -7.59886      0.24416      -0.00464       0.38262       0.09481   
 0.00100    0.24333      0.35236       -7.73996      0.24454      -0.00454       0.37497       0.09666   
 0.00200    0.24368      0.34455       -7.88105      0.24491      -0.00445       0.36718       0.09851   
 0.00300    0.24402      0.33660       -8.02204      0.24527      -0.00435       0.35923       0.10037   
 0.00400    0.24435      0.32851       -8.16284      0.24563      -0.00425       0.35112       0.10223   
 0.00500    0.24467      0.32027       -8.30332      0.24597      -0.00414       0.34286       0.10409   
 0.00600    0.24499      0.31190       -8.44340      0.24631      -0.00404       0.33444       0.10595   
 0.00700    0.24530      0.30339       -8.58296      0.24664      -0.00393       0.32586       0.10780   
 0.00800    0.24560      0.29474       -8.72188      0.24696      -0.00382       0.31712       0.10965   
 0.00900    0.24589      0.28594       -8.86004      0.24728      -0.00371       0.30823       0.11150   
 0.01000    0.24617      0.27702       -8.99732      0.24758      -0.00360       0.29918       0.11334   
 0.01100    0.24644      0.26795       -9.13359      0.24787      -0.00349       0.28997       0.11517   
 0.01200    0.24670      0.25875       -9.26872      0.24816      -0.00337       0.28061       0.11699   
 0.01300    0.24696      0.24941       -9.40258      0.24844      -0.00325       0.27109       0.11880   
 0.01400    0.24720      0.23994       -9.53502      0.24870      -0.00313       0.26142       0.12060   
 0.01500    0.24744      0.23034       -9.66589      0.24896      -0.00301       0.25159       0.12238   
 0.01600    0.24766      0.22061       -9.79505      0.24921      -0.00289       0.24161       0.12414   
 0.01700    0.24788      0.21075       -9.92235      0.24944      -0.00276       0.23147       0.12589   
 0.01800    0.24809      0.20077      -10.04762      0.24967      -0.00264       0.22119       0.12762   
 0.01900    0.24828      0.19066      -10.17069      0.24988      -0.00251       0.21075       0.12932   
 0.02000    0.24847      0.18043      -10.29141      0.25009      -0.00238       0.20016       0.13099   
 0.02100    0.24864      0.17008      -10.40960      0.25028      -0.00224       0.18943       0.13264   
 0.02200    0.24881      0.15961      -10.52508      0.25047      -0.00211       0.17856       0.13427   
 0.02300    0.24896      0.14903      -10.63767      0.25064      -0.00198       0.16754       0.13586   
 0.02400    0.24910      0.13834      -10.74719      0.25080      -0.00184       0.15638       0.13741   
 0.02500    0.24924      0.12754      -10.85343      0.25095      -0.00170       0.14508       0.13893   
 0.02600    0.24936      0.11663      -10.95622      0.25109      -0.00156       0.13365       0.14041   
 0.02700    0.24947      0.10562      -11.05534      0.25122      -0.00142       0.12208       0.14185   
 0.02800    0.24957      0.09452      -11.15058      0.25134      -0.00128       0.11039       0.14325   
 0.02900    0.24966      0.08332      -11.24175      0.25144      -0.00113       0.09857       0.14460   
 0.03000    0.24974      0.07204      -11.32863      0.25153      -0.00099       0.08662       0.14590   
 0.03100    0.24980      0.06067      -11.41099      0.25162      -0.00084       0.07456       0.14715   
 0.03200    0.24986      0.04922      -11.48862      0.25168      -0.00069       0.06238       0.14834   
 0.03300    0.24990      0.03769      -11.56129      0.25174      -0.00055       0.05008       0.14948   
 0.03400    0.24993      0.02610      -11.62876      0.25178      -0.00040       0.03769       0.15055   
 0.03500    0.24995      0.01444      -11.69079      0.25182      -0.00024       0.02518       0.15157   
 0.03600    0.24996      0.00272      -11.74716      0.25183      -0.00009       0.01259       0.15251   
 0.03700    0.24996     -0.00905      -11.79761      0.25184       0.00006      -0.00011       0.15339   
 0.03800    0.24994     -0.02088      -11.84189      0.25183       0.00021      -0.01288       0.15419   
 0.03900    0.24992     -0.03274      -11.87975      0.25181       0.00037      -0.02574       0.15492   
 0.04000    0.24988     -0.04463      -11.91094      0.25178       0.00052      -0.03868       0.15556   
 0.04100    0.24983     -0.05656      -11.93519      0.25174       0.00068      -0.05168       0.15613   
 0.04200    0.24977     -0.06850      -11.95223      0.25168       0.00084      -0.06475       0.15661   
